order_id,program,supplier,category,order_date,promised_date,actual_date,unit_cost,quantity,days_late,on_time,at_risk,supplier_trending_late,total_cost
ORD-1000,Program-D,Orbital Systems,Structural,2024-04-12,2024-06-11,2024-06-10,544.88,10,-1,True,False,False,5448.8
ORD-1001,Program-E,Vantage Precision,Structural,2024-01-26,2024-03-26,2024-04-21,4695.84,5,26,False,True,False,23479.2
ORD-1002,Program-D,Orbital Systems,Avionics,2024-01-02,2024-03-02,2024-02-28,2647.63,5,-3,True,False,False,13238.150000000001
ORD-1003,Program-D,Vantage Precision,Electrical,2023-10-01,2023-10-31,2023-10-31,2982.45,10,0,True,False,False,29824.5
ORD-1004,Program-E,Delta Avionics,Avionics,2023-09-28,2023-10-19,2023-11-30,2838.28,5,42,False,True,False,14191.400000000001
ORD-1005,Program-A,Northfield Machining,Structural,2024-02-15,2024-03-31,2024-04-01,4174.31,10,1,False,False,False,41743.100000000006
ORD-1006,Program-F,Aerostar Components,Structural,2024-02-02,2024-02-23,2024-02-25,2756.22,100,2,False,False,True,275622.0
ORD-1007,Program-E,Northfield Machining,Avionics,2024-07-17,2024-08-31,2024-09-02,1020.12,1,2,False,False,False,1020.12
ORD-1008,Program-F,Orbital Systems,Electrical,2023-06-12,2023-08-11,2023-08-08,1440.63,25,-3,True,False,False,36015.75
ORD-1009,Program-E,Aerostar Components,Structural,2023-04-10,2023-04-24,2023-06-01,2004.66,10,38,False,True,True,20046.600000000002
ORD-1010,Program-C,Aerostar Components,Avionics,2024-04-19,2024-05-19,2024-05-17,623.55,1,-2,True,False,True,623.55
ORD-1011,Program-D,Northfield Machining,Structural,2023-08-11,2023-10-10,2023-10-20,1409.87,10,10,False,False,False,14098.699999999999
ORD-1012,Program-A,Delta Avionics,Structural,2024-03-03,2024-03-17,2024-03-26,3866.29,10,9,False,False,False,38662.9
ORD-1013,Program-A,Northfield Machining,Structural,2023-03-06,2023-03-20,2023-03-20,4542.45,50,0,True,False,False,227122.5
ORD-1014,Program-C,Orbital Systems,Structural,2023-02-16,2023-03-18,2023-04-01,4652.0,50,14,False,True,False,232600.0
ORD-1015,Program-F,Aerostar Components,Structural,2023-10-01,2023-11-15,2023-11-17,4422.24,5,2,False,False,True,22111.199999999997
ORD-1016,Program-D,Aerostar Components,Electrical,2023-03-08,2023-03-22,2023-03-19,4099.17,1,-3,True,False,True,4099.17
ORD-1017,Program-C,Delta Avionics,Electrical,2023-09-08,2023-11-07,2023-11-19,1721.2,10,12,False,True,False,17212.0
ORD-1018,Program-F,Aerostar Components,Electrical,2023-02-08,2023-03-01,2023-04-14,3496.71,10,44,False,True,True,34967.1
ORD-1019,Program-A,Orbital Systems,Structural,2023-01-23,2023-02-06,2023-03-20,304.82,50,42,False,True,False,15241.0
ORD-1020,Program-A,Aerostar Components,Structural,2023-03-28,2023-05-12,2023-05-14,1248.17,25,2,False,False,True,31204.25
ORD-1021,Program-C,Delta Avionics,Structural,2024-04-26,2024-06-25,2024-06-27,2024.18,1,2,False,False,False,2024.18
ORD-1022,Program-A,Vantage Precision,Electrical,2024-02-22,2024-03-23,2024-03-22,1140.19,5,-1,True,False,False,5700.950000000001
ORD-1023,Program-C,Delta Avionics,Electrical,2023-02-27,2023-03-13,2023-03-22,4686.81,1,9,False,False,False,4686.81
ORD-1024,Program-C,Vantage Precision,Avionics,2023-05-06,2023-05-27,2023-05-27,916.03,1,0,True,False,False,916.03
ORD-1025,Program-D,Vantage Precision,Structural,2024-08-20,2024-10-04,2024-10-03,984.1,1,-1,True,False,False,984.1
