order_id,program,supplier,category,order_date,promised_date,actual_date,unit_cost,quantity
ORD-1000,Program-D,  orbital systems  ,Structural,2024-04-12,2024-06-11,2024-06-10,544.88,10
ORD-1001,Program-E,Vantage Precision,Structural,2024-01-26,2024-03-26,2024-04-21,4695.84,5
ORD-1002,Program-D,  orbital systems  ,Avionics,2024-01-02,2024-03-02,2024-02-28,2647.63,5
ORD-1003,Program-D,Vantage Precision,Electrical,2023-10-01,2023-10-31,2023-10-31,2982.45,10
ORD-1004,Program-E,Delta Avionics,Avionics,2023-09-28,2023-10-19,2023-11-30,2838.28,5
ORD-1005,Program-A,NorthField Machining,Structural,2024-02-15,2024-03-31,2024-04-01,4174.31,10
ORD-1006,Program-F,Aerostar Components,Structural,2024-02-02,2024-02-23,2024-02-25,2756.22,100
ORD-1007,Program-E,NorthField Machining,Avionics,2024-07-17,2024-08-31,2024-09-02,1020.12,1
ORD-1008,Program-F,  orbital systems  ,Electrical,2023-06-12,2023-08-11,2023-08-08,1440.63,25
ORD-1009,Program-E,Aerostar Components,Structural,2023-04-10,2023-04-24,2023-06-01,2004.66,10
ORD-1010,Program-C,Aerostar Components,Avionics,2024-04-19,2024-05-19,2024-05-17,623.55,1
ORD-1011,Program-D,NorthField Machining,Structural,2023-08-11,2023-10-10,2023-10-20,1409.87,10
ORD-1012,Program-A,Delta Avionics,Structural,2024-03-03,2024-03-17,2024-03-26,3866.29,10
ORD-1013,Program-A,NorthField Machining,Structural,2023-03-06,2023-03-20,2023-03-20,4542.45,50
ORD-1014,Program-C,  orbital systems  ,Structural,2023-02-16,2023-03-18,2023-04-01,4652.0,50
ORD-1015,Program-F,Aerostar Components,Structural,2023-10-01,2023-11-15,2023-11-17,4422.24,5
ORD-1016,Program-D,Aerostar Components,Electrical,2023-03-08,2023-03-22,2023-03-19,4099.17,1
ORD-1017,Program-C,Delta avionics,Electrical,2023-09-08,2023-11-07,2023-11-19,1721.2,10
ORD-1018,Program-F,Aerostar Components,Electrical,2023-02-08,2023-03-01,2023-04-14,3496.71,10
ORD-1019,Program-A,  orbital systems  ,Structural,2023-01-23,2023-02-06,2023-03-20,304.82,50
ORD-1020,Program-A,Aerostar Components,Structural,2023-03-28,2023-05-12,2023-05-14,1248.17,25
ORD-1021,Program-C,Delta Avionics,Structural,2024-04-26,2024-06-25,2024-06-27,2024.18,1
ORD-1022,Program-A,Vantage Precision,Electrical,2024-02-22,2024-03-23,2024-03-22,1140.19,5
ORD-1023,Program-C,Delta Avionics,Electrical,2023-02-27,2023-03-13,2023-03-22,4686.81,1
ORD-1024,Program-C,Vantage Precision,Avionics,2023-05-06,2023-05-27,2023-05-27,916.03,1
ORD-1025,Program-D,Vantage Precision,Structural,2024-08-20,2024-10-04,2024-10-03,984.1,1
ORD-1026,Program-C,Delta Avionics,Avionics,2024-06-22,2024-07-06,2024-07-05,4681.39,25
ORD-1027,Program-F,Vantage Precision,Avionics,2023-08-12,2023-08-26,2023-08-30,846.0,5
ORD-1028,Program-B,Delta avionics,Electrical,2024-08-19,2024-10-03,2024-10-06,2494.77,25
ORD-1029,Program-C,Aerostar Components,Electrical,2023-11-22,2023-12-22,2023-12-24,1257.75,100
ORD-1030,Program-F,  orbital systems  ,Electrical,2024-06-27,2024-07-27,2024-07-30,2905.67,1
ORD-1031,Program-E,Vantage Precision,Avionics,2023-06-18,2023-07-18,2023-07-21,4973.03,100
ORD-1032,Program-E,Delta avionics,Fasteners,2023-08-11,2023-08-25,2023-10-07,2169.51,50
ORD-1033,Program-C,Vantage Precision,Fasteners,2023-06-26,2023-08-25,2023-08-22,1618.76,5
ORD-1034,Program-A,NorthField Machining,Fasteners,2024-02-22,2024-03-14,2024-03-16,1825.3,10
ORD-1035,Program-B,NorthField Machining,Electrical,2024-05-24,2024-06-07,2024-06-16,1503.28,5
ORD-1036,Program-C,NorthField Machining,Fasteners,2024-07-01,2024-07-22,2024-07-22,4001.56,1
ORD-1037,Program-F,Delta avionics,Fasteners,2023-07-22,2023-09-05,2023-09-07,1674.36,5
ORD-1038,Program-F,  orbital systems  ,Fasteners,2024-05-31,2024-06-14,2024-06-16,1551.16,10
ORD-1039,Program-D,  orbital systems  ,Electrical,2024-04-06,2024-05-21,2024-06-11,472.47,50
ORD-1040,Program-D,Delta avionics,Electrical,2024-01-18,2024-03-03,2024-03-01,2605.69,100
ORD-1041,Program-C,Aerostar Components,Electrical,2023-09-18,2023-10-09,2023-10-10,962.45,100
ORD-1042,Program-A,Vantage Precision,Electrical,2023-04-14,2023-04-28,2023-04-30,514.67,1
ORD-1043,Program-E,  orbital systems  ,Avionics,2023-11-07,2024-01-06,2024-01-05,1276.27,10
ORD-1044,Program-E,Delta avionics,Structural,2023-03-11,2023-05-10,2023-05-12,4284.53,25
ORD-1045,Program-E,Vantage Precision,Structural,2024-04-03,2024-06-02,2024-05-30,2350.14,50
ORD-1046,Program-B,NorthField Machining,Fasteners,2024-06-16,2024-07-31,2024-07-29,4670.51,1
ORD-1047,Program-E,  orbital systems  ,Structural,2023-02-12,2023-03-05,2023-03-04,4014.7,25
ORD-1048,Program-B,Delta Avionics,Avionics,2023-10-02,2023-11-01,2023-11-15,1961.21,1
ORD-1049,Program-B,Delta Avionics,Structural,2023-02-11,2023-03-04,2023-03-02,3430.88,1
ORD-1050,Program-B,  orbital systems  ,Fasteners,2023-01-14,2023-02-04,2023-02-04,3479.81,5
ORD-1051,Program-E,Delta Avionics,Fasteners,2024-03-17,2024-05-16,2024-06-03,928.33,1
ORD-1052,Program-C,Aerostar Components,Avionics,2023-03-18,2023-04-01,2023-04-11,4342.23,50
ORD-1053,Program-D,Aerostar Components,Avionics,2024-03-19,2024-04-18,2024-04-15,2694.92,25
ORD-1054,Program-A,Delta avionics,Structural,2023-03-01,2023-04-15,2023-04-12,4243.36,1
ORD-1055,Program-D,Delta avionics,Avionics,2023-10-17,2023-11-07,2023-11-08,503.94,25
ORD-1056,Program-A,Vantage Precision,Avionics,2024-03-27,2024-04-10,2024-04-11,2497.38,100
ORD-1057,Program-B,  orbital systems  ,Avionics,2023-11-24,2023-12-24,2023-12-24,3455.75,5
